Twitter,State,Chamber of Congress,Name,Party,screen_name
@SenShelby,Alabama,Senator,Richard Shelby,R,SenShelby
@DougJones,Alabama,Senator,Doug Jones,D,DougJones
@RepByrne,Alabama 1st District,Representative,"Byrne, Bradley",R,RepByrne
@RepMarthaRoby,Alabama 2nd District,U.S. Representative,"Roby, Martha",R,RepMarthaRoby
@RepMikeRogersAL,Alabama 3rd District,U.S. Representative,"Rogers, Mike",R,RepMikeRogersAL
@Robert_Aderholt,Alabama 4th District,U.S. Representative,"Aderholt, Robert",R,Robert_Aderholt
@RepMoBrooks,Alabama 5th District,U.S. Representative,"Brooks, Mo",R,RepMoBrooks
@USRepGaryPalmer,Alabama 6th District,U.S. Representative,"Palmer, Gary",R,USRepGaryPalmer
@RepTerriSewell,Alabama 7th District,U.S. Representative,"Sewell, Terri A.",D,RepTerriSewell
@SenDanSullivan,Alaska,U.S. Senator,"Sullivan, Dan",R,SenDanSullivan
@lisamurkowski,Alaska,U.S. Senator,"Murkowski, Lisa",R,lisamurkowski
@RepDonYoung,Alaska At-Large,U.S. Representative,"Young, Don",R,RepDonYoung
@RepAmata,American Samoa At-Large,U.S. Representative,"Radewagen, Amata",R,RepAmata
@SenMcSallyAZ,Arizona,U.S. Senator,"McSally, Martha",R,SenMcSallyAZ
@SenatorSinema,Arizona,U.S. Senator,"Sinema, Kyrsten",D,SenatorSinema
@TomOHalleran,Arizona 1st District,U.S. Representative,"O'Halleran, Tom",D,TomOHalleran
@RepKirkPatrick,Arizona 2nd District,U.S. Representative,"Kirkpatrick, Ann",D,RepKirkPatrick
@RepRaulGrijalva,Arizona 3rd District,U.S. Representative,"Grijalva, Raul",D,RepRaulGrijalva
@RepGosar,Arizona 4th District,U.S. Representative,"Gosar, Paul A.",R,RepGosar
@AndyBiggs4AZ,Arizona 5th District,U.S. Representative,"Biggs, Andy",R,AndyBiggs4AZ
@RepDavid,Arizona 6th District,U.S. Representative,"Schweikert, David",R,RepDavid
@RepRubenGallego,Arizona 7th District,U.S. Representative,"Gallego, Ruben",D,RepRubenGallego
@RepDLesko,Arizona 8th District,U.S. Representative,"Lesko, Debbie ",R,RepDLesko
@RepGregStanton,Arizona 9th District,U.S. Representative,"Stanton, Greg",D,RepGregStanton
@SenTomCotton,Arkansas,U.S. Senator,"Cotton, Tom",R,SenTomCotton
@JohnBoozman,Arkansas,U.S. Senator,"Boozman, John",R,JohnBoozman
@RepRickCrawford,Arkansas 1st District,U.S. Representative,"Crawford, Rick",R,RepRickCrawford
@RepFrenchHill,Arkansas 2nd District,U.S. Representative,"Hill, French",R,RepFrenchHill
@rep_stevewomack,Arkansas 3rd District,U.S. Representative,"Womack, Steve",R,rep_stevewomack
